weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,wind.gust,rain.1h,main.sea_level,main.grnd_level,snow.1h
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698799,-25200,5540831,Hurricane,200,-113.2899,37.1753,270.13,265.96,266.15,274.15,1016,79,2.06,120,1,1.0,3373.0,US,1612708219,1612746263,,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,5617,1612698799,28800,2075265,Busselton,200,115.3333,-33.65,289.4,290.56,288.71,289.82,998,95,0.89,180,100,3.0,2008303.0,AU,1612647991,1612696747,2.68,0.53,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000,1612698800,0,2610343,Vestmanna,200,-7.1664,62.1564,275.15,266.51,275.15,275.15,1027,64,8.75,100,75,1.0,1596.0,FO,1612687109,1612716432,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698800,-28800,5793272,East Wenatchee Bench,200,-120.2812,47.4257,275.65,269.28,274.26,276.48,1012,81,6.17,350,90,1.0,3917.0,US,1612711110,1612746728,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1612698800,10800,625324,Mazyr,200,29.2456,52.0495,261.26,256.54,261.26,261.26,1023,87,2.03,52,36,,,BY,1612675991,1612710072,,,1023.0,1004.0,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,8000,1612698547,10800,103630,Najrān,200,44.1277,17.4924,297.15,293.64,297.15,297.15,1018,27,3.09,100,14,1.0,7421.0,SA,1612668827,1612710091,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000,1612698800,39600,2163355,Hobart,200,147.3294,-42.8794,285.66,281.36,285.37,286.15,1014,54,4.12,240,20,1.0,9545.0,AU,1612639248,1612690131,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698801,46800,2206939,Bluff,200,168.3333,-46.6,286.58,286.53,286.58,286.58,1010,91,0.95,101,92,,,NZ,1612720167,1612771938,,,1010.0,1007.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000,1612698801,19800,1265233,Lakhnādon,200,79.6,22.6,294.75,290.99,294.75,294.75,1014,22,2.32,8,0,,,IN,1612660691,1612701200,,,1014.0,945.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000,1612698801,25200,1214488,Meulaboh,200,96.1285,4.1363,300.74,304.98,300.74,300.74,1009,73,0.89,196,80,,,ID,1612655444,1612698513,,,1009.0,1008.0,
